intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,lineage
3769000,0.0534867879544745,0.9128118188423348,0.0534867879544745,0.06111492926332715,1.2504643141416822,1.0,0.7715355446749057,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_003335315.1 Brachybacterium alimentarium strain=862_8, ASM333531v1",c65375c9d31bb3b102ab9f030a2669f9,0.9128118188423348,3769000,0,35231000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9273918504611424,0.9970615665546925,0.9622267085079175,0.9970615665546925,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium alimentarium
3564000,0.050577583515454265,0.8453510436432637,0.050577583515454265,0.06009051181970253,1.3002244668911336,1.0,0.7458752683556287,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_002332325.1 Brevibacterium aurantiacum strain=962_8, ASM233232v1",d8a219e9bfe24ee158b9fc63b6e36183,0.8453510436432637,3564000,1,31667000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9257202778793824,0.9945951974448382,0.9601577376621102,0.9945951974448382,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium aurantiacum
2777000,0.039409076717849746,0.9286435543588017,0.0391536343768626,0.03760519729761272,1.051105472997463,1.0,0.3900698017977096,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900163675.1 Corynebacterium sp. JB4 strain=JB4, ASM90016367v1",d9509d286d2ed617e208220d855afb7d,0.9347021204981488,2759000,2,28908000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9182992605447767,0.9978240679361658,0.9580616642404713,0.9978240679361658,False,Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium casei
2603000,0.03693980075497403,0.8716917922948074,0.03692560951380808,0.036554845235162156,1.0833973866256725,1.0,0.4550944725018116,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_000294465.1 Staphylococcus sp. OJ82 strain=OJ82, ASM29446v1",35dffafc73655a20429e6a2ca69fa1c0,0.8720268006700167,2602000,3,26306000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9163844851946449,0.9955924797900589,0.9559884824923519,0.9955924797900589,False,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus sp. OJ82
2758000,0.03913944313569665,0.5756967670011148,0.03664178469048903,0.036334400975141665,1.0852052672347017,1.0,0.6983589376067515,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_014897585.1 Brachybacterium tyrofermentans strain=FME25, ASM1489758v1",484a112af99cb08baf26233e71e30bc9,0.6149386845039019,2582000,4,23724000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9180959115039249,0.984437441517619,0.951266676510772,0.984437441517619,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium tyrofermentans
2043000,0.0289927057020407,0.7191051136363636,0.028737263361053558,0.02903380577563961,1.105679012345679,1.0,0.742163900355991,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900163565.1 Agrococcus casei LMG 22410 strain=LMG 22410, ASM90016356v1",456c5de009522e30c1c79992148dcbab,0.7254971590909091,2025000,5,21699000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9092514289394728,0.9897018405884305,0.9494766347639516,0.9897018405884305,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Agrococcus;Agrococcus casei;Agrococcus casei LMG 22410
1957000,0.027772258961768798,0.5146024878312602,0.02700593193880737,0.025610436090615557,1.0378349973725696,1.0,0.2482475416355626,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900169375.1 Brevibacterium sp. Mu109 strain=Mu109, Assembly_BSP109",eeb6fa92d0757a4b0b2ddf601bc4cafa,0.5292049756625202,1903000,6,19796000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9079908894106786,0.9796809033373128,0.9438358963739957,0.9796809033373128,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. Mu109
1757000,0.024934010728578322,0.6449595290654894,0.02487724576391451,0.023016974208021578,1.0125499144324015,1.0,0.11132122025984531,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_019120175.1 Candidatus Corynebacterium faecigallinarum, ASM1912017v1",3333fea534e775767acecabbc1afa0a3,0.6464311994113319,1753000,7,18043000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9048387654588298,0.9860247504768043,0.9454317579678171,0.9860247504768043,False,Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Candidatus Corynebacterium faecigallinarum
1723000,0.02445150852893594,0.8154283009938476,0.02445150852893594,0.023574568512779285,1.0551363900174116,1.0,0.360371610411323,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900109085.1 Alkalibacterium gilvum strain=DSM 25751, IMG-taxon 2616644817 annotated assembly",a839f934bff1f98f912878fb53519420,0.8154283009938476,1723000,8,16320000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.9042685800216846,0.9934396209304174,0.948854100476051,0.9934396209304174,False,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;Alkalibacterium gilvum
1451000,0.020591490931796894,0.38895216400911165,0.019385235432690943,0.018335775509939443,1.0351390922401171,1.0,0.19940123322088688,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_014400405.1 Brachybacterium sp. Z12 strain=Z12, ASM1440040v1",4dfbb0efc26bdfda989a33d5d2294e63,0.41315489749430523,1366000,9,14954000,inputs/raw/wh_flyeass.fasta,wh,d35e9a1c,70466000,31,DNA,1000,70466,True,0.8992706370487835,0.9718887283072352,0.9355796826780094,0.9718887283072352,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium sp. Z12
